Site,URLS,URL,Country,OpenAI,Google AI,Common Crawl,OAI-SearchBot,ChatGPT-User,GPTBot,PerplexityBot
Aberdeen News,https://www.aberdeennews.com,https://www.aberdeennews.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Abilene Reporter News,https://www.reporternews.com,https://www.reporternews.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Akron Beacon Journal,https://www.beaconjournal.com,https://www.beaconjournal.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Alabama Media Group,https://www.al.com,https://www.al.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Albany Herald,https://www.albanyherald.com,https://www.albanyherald.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Albuquerque Journal,https://www.abqjournal.com,https://www.abqjournal.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Alexandria Town Talk,https://www.thetowntalk.com,https://www.thetowntalk.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Alliance Review, The",https://www.the-review.com,https://www.the-review.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Amar Ujala,https://www.amarujala.com,https://www.amarujala.com,🇮🇳,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Amarillo Globe-News,https://www.amarillo.com,https://www.amarillo.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Anchorage Press,https://www.anchoragepress.com,https://www.anchoragepress.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Anderson Independent-Mail,https://www.independentmail.com,https://www.independentmail.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Appleton Post Crescent,https://www.postcrescent.com,https://www.postcrescent.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Arizona Daily Star,https://tucson.com,https://tucson.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Arizona Daily Sun,https://azdailysun.com,https://azdailysun.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Arizona Republic,https://www.azcentral.com,https://www.azcentral.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
